store,address,item,total_price,price_per_unit
harristeeter,975 Emmet St N,"Eggland's Best Classic Large White Eggs 12 count",3.99,$0.33 / unit
harristeeter,975 Emmet St N,"Eggland's Best Classic Large White Eggs 18 count",5.99,$0.33 / unit
harristeeter,975 Emmet St N,"Eggland's Best Classic Extra Large White Eggs 12 count",4.49,$0.37 / unit
harristeeter,975 Emmet St N,Nellie's Extra Large Free Range Eggs,6.79,$0.57 / unit
harristeeter,975 Emmet St N,Harris Teeter Large Grade A White Eggs,2.29,$0.19 / unit
harristeeter,975 Emmet St N,"Eggland's Best Cage Free Large Brown Eggs 12 count",4.99,$0.42 / unit
harristeeter,975 Emmet St N,Harris Teeterâ„¢ Brown Cage Free Large Nest Eggs,6.49,$0.36 / unit
harristeeter,975 Emmet St N,Simple Truth Organicâ„¢ Cage Free Grade A Large Brown Eggs,4.99,$0.42 / unit
